접종일,접종대상자,당일 1차접종자 수,1차접종 누계,1차접종률(%),당일 2차접종자 수,2차접종 누계,2차접종률(%)
2021-11-17,9505868,6446.0,7852307,82.6,10630.0,7551221,79.4
2021-11-16,9505868,5818.0,7845313,82.5,8581.0,7539835,79.3
2021-11-15,9505868,11416.0,7838934,82.5,15826.0,7530510,79.2
2021-11-14,9505868,385.0,7826385,82.3,633.0,7513491,79.0
2021-11-07,9505868,9722.0,7755977,81.6,17188.0,7383658,77.7
2021-11-06,9505868,12490.0,7755658,81.6,24597.0,7383008,77.7
2021-11-05,9505868,,7747766,81.5,,7371157,77.5
2021-11-04,9505868,,7735719,81.4,,7343803,77.3
2021-11-03,9505868,,7725945,81.3,,7319309,77.0
2021-11-02,9505868,,7715781,81.2,,7305236,76.8
2021-11-01,9505868,7956.0,7706849,81.1,15585.0,7288535,76.7
2021-10-31,9505868,14487.0,7691201,80.9,22876.0,7264156,76.4
2021-10-30,9505868,590.0,7690845,80.9,3541.0,7260745,76.4
2021-10-29,9505868,6786.0,7684177,80.8,62186.0,7197005,75.7
2021-10-28,9505868,10066.0,7673374,80.7,119127.0,7075798,74.4
2021-10-27,9505868,9889.0,7662842,80.6,118168.0,6956701,73.2
2021-10-26,9505868,12513.0,7649640,80.5,45454.0,6910102,72.7
2021-10-25,9505868,8093.0,7641054,80.4,51562.0,6857140,72.1
2021-10-24,9505868,14534.0,7625652,80.2,81910.0,6774072,71.3
2021-10-23,9505868,615.0,7625324,80.2,3029.0,6771114,71.2
2021-10-22,9505868,9514.0,7615645,80.1,64412.0,6704753,70.5
2021-10-21,9505868,11081.0,7604057,80.0,120508.0,6583050,69.3
2021-10-20,9505868,8935.0,7594490,79.9,90087.0,6491721,68.3
2021-10-19,9505868,10388.0,7583569,79.8,66373.0,6423946,67.6
2021-10-18,9505868,7074.0,7576118,79.7,93332.0,6329932,66.6
2021-10-17,9505868,12809.0,7562468,79.6,133852.0,6194826,65.2
2021-10-16,9505868,395.0,7562283,79.6,3619.0,6191341,65.1
2021-10-15,9505868,10673.0,7551829,79.4,66910.0,6124432,64.4
2021-10-14,9505868,14556.0,7536654,79.3,133580.0,5989111,63.0
2021-10-13,9505868,9609.0,7526430,79.2,94569.0,5893191,62.0
2021-10-12,9505868,9804.0,7516070,79.1,77503.0,5814018,61.2
2021-10-11,9505868,17274.0,7497044,78.9,110204.0,5701291,60.0
2021-10-10,9505868,16395.0,7480597,78.7,28099.0,5673019,59.6
2021-10-09,9505868,330.0,7480266,78.7,15337.0,5669744,59.6
2021-10-08,9505868,1373.0,7479069,78.6,15337.0,5654619,59.4
2021-10-07,9505868,6847.0,7471415,78.6,200186.0,5353493,57.4
2021-10-06,9505868,5982.0,7464613,78.5,138375.0,5314014,55.9
2021-10-05,9505868,6247.0,7458216,78.5,95261.0,5218486,54.9
2021-10-04,9505868,7737.0,7450028,78.4,146444.0,5071302,53.3
2021-10-03,9505868,4727.0,7445243,78.3,41561.0,5029684,52.9
2021-10-02,9505868,637.0,7444944,78.3,6422.0,5023350,52.8
2021-10-01,9505868,21915.0,7423508,78.1,80525.0,4942880,52.0
2021-09-30,9505868,41307.0,7382559,77.7,156636.0,4786032,50.3
2021-09-29,9505868,67946.0,7314953,77.0,104742.0,4681112,49.2
2021-09-28,9505868,40336.0,7274915,76.5,105746.0,4575154,48.1
2021-09-27,9505868,47035.0,7228337,76.0,132787.0,4442337,46.7
2021-09-26,9505868,78584.0,7149465,75.2,139274.0,4302483,45.3
2021-09-25,9505868,4382.0,7145818,75.2,5363.0,4297136,45.2
2021-09-24,9505868,58203.0,7087986,74.6,46721.0,4250234,44.7
2021-09-23,9505868,111184.0,6976646,73.4,84966.0,4164701,43.8
2021-09-22,9575355,107196.0,6869476,71.7,80540.0,4083668,42.6
2021-09-21,9575355,5543.0,6864518,71.7,4188.0,4079491,42.6
2021-09-20,9575355,1751.0,6861616,71.7,1378.0,4076910,42.6
2021-09-19,9575355,4388.0,6857961,71.6,2230.0,4074327,42.6
2021-09-18,9575355,3742.0,6829542,71.3,5585.0,4074223,42.5
2021-09-17,9575355,71862.0,6757122,70.6,39944.0,4034022,42.1
2021-09-16,9575355,123931.0,6632640,69.3,81868.0,3951930,41.3
2021-09-15,9575355,121040.0,6541079,68.3,35198.0,3898145,40.7
2021-09-14,9575355,75242.0,6461888,67.4,68849.0,3825878,39.9
2021-09-13,9575355,121040.0,6340285,64.4,35198.0,3790493,38.9
2021-09-12,9575355,169036.0,6171056,64.4,68468.0,3721786,38.9
2021-09-11,9575355,3546.0,6167426,64.4,4917.0,3716811,38.8
2021-09-10,9575355,60926.0,6105756,63.8,40766.0,3675621,38.4
2021-09-09,9575355,123400.0,5981858,62.5,72243.0,3603102,37.6
2021-09-08,9575355,91416.0,5890223,61.5,50641.0,3552387,37.1
2021-09-07,9575355,73677.0,5816238,60.7,54596.0,3497620,36.5
2021-09-06,9575355,111410.0,5704290,59.6,80167.0,3417102,35.7
2021-09-05,9575355,145248.0,5558869,58.1,116052.0,3300807,34.5
2021-09-04,9575355,1388.0,5557393,58.0,1580.0,3299212,34.5
2021-09-03,9575355,22326.0,5534916,57.8,42787.0,3256323,34.1
2021-09-02,9575355,45045.0,5489715,57.3,113133.0,3142962,32.8
2021-09-01,9575355,39320.0,5450266,56.9,88297.0,3054297,31.9
2021-08-31,9575355,34235.0,5415837,56.6,94420.0,2959659,30.9
2021-08-30,9575355,51342.0,5364255,56.0,95981.0,2863236,29.9
2021-08-29,9575355,83424.0,5280462,55.1,107394.0,2755524,28.8
2021-08-28,9575355,2697.0,5276953,55.1,2921.0,2752565,28.7
2021-08-27,9575355,51398.0,5224286,54.6,50134.0,2702208,28.2
2021-08-26,9575355,110086.0,5111802,53.4,101098.0,2599571,27.1
2021-08-25,9575355,126823.0,4994132,52.2,71032.0,2533738,26.5
2021-08-24,9575355,63242.0,4929671,51.5,82944.0,2450543,25.6
2021-08-23,9575355,71407.0,4856923,50.7,107587.0,2342494,24.5
2021-08-22,9795426,74785.0,4780478,48.8,130725.0,2210777,22.6
2021-08-21,9575355,7449.0,4771762,49.8,561.0,2210176,23.1
2021-08-20,9575355,65430.0,4704843,49.1,26500.0,2183532,22.8
2021-08-19,9575355,116425.0,4587049,47.9,66759.0,2116503,22.1
2021-08-18,5762857,85052.0,4500520,78.1,57683.0,2058630,35.7
2021-08-17,5503804,93303.0,4405330,80.0,62833.0,1995627,36.3
2021-08-16,4915812,128626.0,4273365,86.9,94563.0,1900836,38.7
2021-08-15,4802523,123845.0,4149042,86.4,51259.0,1849485,38.5
2021-08-14,4802523,3875.0,4145096,86.3,1162.0,1848314,38.5
2021-08-13,4788775,29755.0,4115097,85.9,39280.0,1808837,37.8
2021-08-12,4737032,43931.0,4070622,85.9,121688.0,1686971,35.6
2021-08-11,4774960,28270.0,4041944,84.6,135399.0,1551492,32.5
2021-08-10,4419973,31041.0,4010500,90.7,35492.0,1515914,34.3
2021-08-09,4419959,48625.0,3961449,89.6,34387.0,1481476,33.5
2021-08-08,4364248,70831.0,3890343,89.1,35253.0,1446195,33.1
2021-08-07,4356536,6105.0,3884200,89.2,106.0,1446093,33.2
2021-08-06,4341693,23333.0,3860574,88.9,8911.0,1437142,33.1
2021-08-05,4321444,41614.0,3818469,88.4,30152.0,1406907,32.6
2021-08-04,4324428,31027.0,3787227,87.6,25819.0,1381042,31.9
2021-08-03,4308530,26082.0,3760901,87.3,23102.0,1357865,31.5
2021-08-02,4308673,35750.0,3724642,86.4,20557.0,1337105,31.0
2021-08-01,3810055,77877.0,3646552,95.7,7123.0,1329967,34.9
2021-07-31,4170013,5674.0,3640808,87.3,68.0,1329899,31.9
2021-07-30,4164203,39795.0,3600688,86.4,4188.0,1325451,31.8
2021-07-29,4164261,80425.0,3519568,84.5,13659.0,1310875,31.5
2021-07-28,4137685,60488.0,3458804,83.6,7742.0,1302735,31.5
2021-07-27,4150036,84052.0,3372307,81.2,8120.0,1293099,31.1
2021-07-26,4058839,74786.0,3297521,81.2,9381.0,1283718,31.6
2021-07-25,4065645,125490.0,3168908,77.9,14631.0,1268914,31.2
2021-07-24,4065545,85.0,3168820,77.9,19.0,1268896,31.2
2021-07-23,4065798,6610.0,3162205,77.8,2639.0,1266249,31.1
2021-07-22,4046086,27951.0,3134191,77.5,10128.0,1254560,31.0
2021-07-21,3943320,31573.0,3102494,78.7,8022.0,1245273,31.6
2021-07-20,3939275,31192.0,3071180,78.0,6008.0,1237904,31.4
2021-07-19,3939611,31212.0,3039867,77.2,8800.0,1226600,31.1
2021-07-18,3939611,31651.0,3008122,75.2,9668.0,1216767,29.8
2021-07-17,3955276,118.0,3000991,76.1,151.0,1216426,30.8
2021-07-16,3950821,8953.0,2998367,75.8,7397.0,1203490,30.4
2021-07-15,3950821,26086.0,2972281,75.2,27192.0,1176298,29.8
2021-07-14,3911307,25026.0,2946540,75.3,20650.0,1152859,29.5
2021-07-13,3726883,25553.0,2922594,78.4,18514.0,1130848,30.3
2021-07-12,3514797,20140.0,2902429,82.6,16581.0,1110216,31.6
2021-07-11,3528530,7439.0,2896204,82.1,13483.0,1096845,31.1
2021-07-10,3537117,66.0,2896137,81.9,222.0,1096559,31.0
2021-07-09,3538319,3864.0,2892191,81.7,8264.0,1083665,30.6
2021-07-08,3546224,14064.0,2877851,81.2,20660.0,1058784,29.9
2021-07-07,3545987,7439.0,2869885,80.9,13483.0,1041173,29.4
2021-07-06,3551180,6871.0,2862693,80.6,11909.0,1025199,28.9
2021-07-05,3496816,7703.0,2854873,81.6,12346.0,1008177,28.8
2021-07-04,3421953,13454.0,2841244,83.0,9389.0,998134,29.2
2021-07-03,3476510,0.0,2841238,81.7,0.0,997938,28.7
2021-07-02,3476385,696.0,2840470,81.7,4139.0,989375,28.5
2021-07-01,3420685,1588.0,2838855,83.0,20529.0,964356,28.2
2021-06-30,3475794,1642.0,2837158,81.6,18865.0,941358,27.1
2021-06-29,3496257,3893.0,2833050,81.0,22749.0,914519,26.2
2021-06-28,3490157,3321.0,2829341,81.1,22407.0,887508,25.4
2021-06-27,3484201,3278.0,2825862,81.0,21853.0,865395,24.8
2021-06-26,3484201,0.0,2825885,81.0,0.0,865395,24.8
2021-06-25,3484201,2216.0,2821282,81.0,6655.0,858697,24.6
2021-06-24,3418720,7635.0,2811191,82.2,22720.0,835878,24.5
2021-06-23,3470953,6581.0,2802006,80.7,22040.0,813666,23.4
2021-06-22,3466857,6694.0,2792660,80.6,21120.0,791467,22.8
2021-06-21,3510564,6694.0,2781609,80.4,21120.0,770137,21.9
2021-06-20,3511095,4973.0,2774797,79.0,21087.0,747880,21.3
2021-06-19,3511144,66.0,2774543,79.0,65.0,747652,21.3
2021-06-18,3446554,36213.0,2732982,79.3,7884.0,739623,21.5
2021-06-17,3430375,90850.0,2637993,76.9,27755.0,711572,20.7
2021-06-16,3401641,78339.0,2554809,75.1,25631.0,685532,20.2
2021-06-15,3391964,112311.0,2437954,71.9,57409.0,627708,18.5
2021-06-14,3371856,122487.0,2309534,68.5,37687.0,589320,17.5
2021-06-13,3364373,145519.0,2163259,64.3,52848.0,535930,15.9
2021-06-12,3364288,5702.0,2157602,64.1,2522.0,533379,15.9
2021-06-11,3353331,82931.0,2070561,61.7,28724.0,504526,15.0
2021-06-10,3338670,165265.0,1900981,56.9,55544.0,448684,13.4
2021-06-09,3102614,148732.0,1746392,56.2,68440.0,380200,12.3
2021-06-08,3034302,104841.0,1636992,53.9,3076.0,377030,12.4
2021-06-07,3018205,131465.0,1500832,49.7,4672.0,372339,12.3
2021-06-06,2286469,158842.0,1341990,58.7,5412.0,366927,16.0
2021-06-05,2282866,463.0,1341398,58.8,0.0,366926,16.1
2021-06-04,2275616,31613.0,1309610,57.5,1135.0,365789,16.1
2021-06-03,2265073,76685.0,1232478,54.4,10339.0,355399,15.7
2021-06-02,2249314,66402.0,1165736,51.8,8383.0,346936,15.4
2021-06-01,2231513,73063.0,1092306,48.9,6277.0,340624,15.3
2021-05-31,2215425,103600.0,988327,44.6,7109.0,333469,15.1
2021-05-30,2195709,75387.0,912517,41.6,8127.0,325079,14.8
2021-05-29,2196518,950.0,911559,41.5,0.0,325079,14.8
2021-05-28,2188641,33824.0,877710,40.1,3843.0,321446,14.7
2021-05-27,2175217,105089.0,772541,35.5,17084.0,304336,14.0
2021-05-26,1129593,122034.0,650432,57.6,13061.0,291118,25.8
2021-05-25,1123393,10780.0,639483,56.9,16175.0,274749,24.5
2021-05-24,1124159,7748.0,631695,56.2,21010.0,253528,22.6
2021-05-23,1123388,7688.0,623942,55.5,21524.0,231821,20.6
2021-05-22,1122778,0.0,623941,55.6,0.0,231820,20.6
2021-05-21,1121838,2478.0,621463,55.4,4100.0,227493,20.3
2021-05-20,1123023,2271.0,619017,55.1,28449.0,198625,17.7
2021-05-19,1121981,2205.0,616705,55.0,22755.0,175445,15.6
2021-05-18,1120058,14.0,616699,55.1,3724.0,171720,15.3
2021-05-17,1122759,2983.0,613630,54.7,16649.0,154898,13.8
2021-05-16,1119118,3197.0,610403,54.5,13074.0,141769,12.7
2021-05-15,1118166,0.0,610338,54.6,0.0,141769,12.7
2021-05-14,1118491,1021.0,609382,54.1,3796.0,137973,11.2
2021-05-13,1113909,3827.0,604185,54.2,12751.0,125220,11.2
2021-05-12,1116796,3391.0,600548,53.8,12435.0,112781,10.1
2021-05-11,1114297,1617.0,598266,53.7,13970.0,98810,8.9
2021-05-10,1113580,2796.0,594975,53.4,13030.0,85775,7.7
2021-05-09,1113434,3131.0,591040,53.1,12457.0,73295,6.6
2021-05-08,1112095,0.0,589744,53.0,0.0,73003,6.6
2021-05-07,1119900,4044.0,592073,52.9,2082.0,70926,6.3
2021-05-06,1108162,11230.0,574583,51.9,11486.0,59707,5.4
2021-05-05,1106344,11021.0,563044,50.9,11715.0,47940,4.3
2021-05-04,1104738,1788.0,559605,50.6,1650.0,46290,4.1
2021-05-03,1102593,20592.0,540404,49.0,4665.0,41624,3.8
2021-05-02,1101302,19795.0,520200,47.2,5033.0,36591,3.3
2021-05-01,1100067,491.0,519845,47.2,0.0,36591,3.3
2021-04-30,1096899,6655.0,511162,46.6,691.0,35900,3.3
2021-04-29,1084245,38789.0,472376,43.6,4280.0,31620,2.9
2021-04-28,1088155,33484.0,438269,40.2,3921.0,27699,2.5
2021-04-27,1080433,31795.0,403093,37.3,2062.0,25631,2.4
2021-04-26,1079832,26585.0,379120,35.1,3725.0,21910,2.0
2021-04-25,1023346,23323.0,350631,34.2,3411.0,18513,1.8
2021-04-24,1023346,200.0,350427,34.2,0.0,18513,1.8
2021-04-23,1027740,10195.0,345764,33.6,119.0,18376,1.8
2021-04-22,1023538,27074.0,317386,31.0,2479.0,15901,1.6
2021-04-21,1019322,22501.0,291857,28.6,2358.0,13543,1.3
